Date,Open,High,Low,Close,Adj Close,Volume
2006-02-09,99.74,99.75,99.7,99.74,99.74,20476
2006-02-10,99.79,99.8,99.76,99.79,99.79,2901
2006-02-13,99.79,99.8,99.74,99.79,99.79,18351
2006-02-14,99.76,99.8,99.74,99.76,99.76,429293
2006-02-15,99.79,99.92,99.79,99.79,99.79,284758
2006-02-16,99.82,100.09,99.75,99.82,99.82,1509572
2006-02-17,99.87,99.87,99.8,99.87,99.87,51217
2006-02-20,99.89,100.09,99.87,99.89,99.89,11778
2006-02-21,99.89,100.0,99.83,99.89,99.89,20811
2006-02-22,99.84,99.88,99.82,99.84,99.84,17933
2006-02-23,99.84,100.14,99.75,99.84,99.84,30998
2006-02-24,99.77,99.78,99.73,99.77,99.77,6210
2006-02-27,99.75,99.98,99.69,99.75,99.75,23198
2006-02-28,99.7,99.74,99.68,99.7,99.7,61408
2006-03-01,99.73,99.88,99.72,99.73,99.73,10323
2006-03-02,99.73,99.76,99.63,99.73,99.73,59107
2006-03-03,99.59,99.64,99.58,99.59,99.59,3685
2006-03-06,99.59,99.9,99.56,99.59,99.59,77916
2006-03-07,99.6,99.6,99.54,99.6,99.6,4004
2006-03-08,99.58,99.63,99.57,99.58,99.58,98982
2006-03-09,99.6,99.63,99.55,99.6,99.6,40314
2006-03-10,99.6,99.65,99.57,99.6,99.6,19470
2006-03-13,99.61,100.09,99.51,99.61,99.61,23671
2006-03-14,99.56,99.63,99.52,99.56,99.56,4254
2006-03-15,99.62,99.64,99.56,99.62,99.62,18368
2006-03-16,99.58,100.04,99.52,99.58,99.58,30049
2006-03-17,99.56,99.78,99.53,99.56,99.56,16087
2006-03-20,99.54,99.59,99.49,99.54,99.54,14558
2006-03-21,99.59,99.62,99.55,99.59,99.59,14924
2006-03-22,99.58,99.65,99.58,99.58,99.58,7246
2006-03-23,99.61,99.67,99.6,99.61,99.61,13608
2006-03-24,99.61,99.66,99.58,99.61,99.61,19521
2006-03-27,99.69,99.7,99.66,99.69,99.69,8550
2006-03-28,99.69,99.7,99.5,99.69,99.69,12597
2006-03-29,99.54,99.7,99.46,99.54,99.54,5762
2006-03-30,99.51,99.7,99.43,99.51,99.51,12927
2006-03-31,99.5,99.55,99.47,99.5,99.5,6776
2006-04-03,99.48,99.5,99.37,99.48,99.48,12688
2006-04-04,99.4,99.8,99.35,99.4,99.4,8246
2006-04-05,99.44,99.51,99.44,99.44,99.44,2227
2006-04-06,99.48,99.59,99.41,99.48,99.48,3881
2006-04-07,99.63,99.66,99.59,99.63,99.63,14201
2006-04-10,99.66,101.49,99.55,99.66,99.66,8372
2006-04-11,99.59,99.65,99.59,99.59,99.59,3090
2006-04-12,99.61,99.66,99.6,99.61,99.61,11681
2006-04-13,99.53,99.61,99.53,99.53,99.53,4894
2006-04-18,99.55,99.6,99.53,99.55,99.55,3899
2006-04-19,99.6,99.67,99.57,99.6,99.6,16396
2006-04-20,99.61,99.64,99.58,99.61,99.61,41816
2006-04-21,99.66,99.68,99.6,99.66,99.66,40061
2006-04-24,99.68,99.69,99.6,99.68,99.68,3300
2006-04-25,99.52,99.56,99.5,99.52,99.52,685
2006-04-26,99.51,99.51,99.45,99.51,99.51,9011
2006-04-27,99.51,99.52,99.4,99.51,99.51,147700
2006-04-28,99.45,99.58,99.45,99.45,99.45,45743
2006-05-02,99.54,99.8,99.47,99.54,99.54,7456
2006-05-03,99.55,99.57,99.53,99.55,99.55,10154
2006-05-04,99.54,99.59,99.49,99.54,99.54,2228
2006-05-05,99.55,99.61,99.53,99.55,99.55,1230
2006-05-08,99.57,99.62,99.56,99.57,99.57,1557
2006-05-09,99.57,99.58,99.54,99.57,99.57,25611
2006-05-10,99.55,99.63,99.54,99.55,99.55,49789
2006-05-11,99.59,99.62,99.55,99.59,99.59,21928
2006-05-12,99.58,99.65,99.5,99.58,99.58,4134
2006-05-15,99.65,99.79,99.55,99.65,99.65,6431
2006-05-16,99.79,99.84,99.75,99.79,99.79,5072
2006-05-17,99.8,99.85,99.72,99.8,99.8,5181
2006-05-18,99.88,99.88,99.77,99.88,99.88,13340
2006-05-19,99.86,99.89,99.81,99.86,99.86,14061
2006-05-22,99.89,101.5,99.88,99.89,99.89,114478
2006-05-23,99.98,99.98,99.9,99.98,99.98,9986
2006-05-24,99.92,100.05,99.92,99.92,99.92,29256
2006-05-25,99.98,100.03,99.98,99.98,99.98,4167
2006-05-26,100.03,100.03,99.9,100.03,100.03,12990
2006-05-29,99.99,100.0,99.96,99.99,99.99,19819
2006-05-30,99.99,100.01,99.87,99.99,99.99,5880
2006-05-31,99.91,99.97,99.85,99.91,99.91,3567
2006-06-01,99.85,99.85,99.79,99.85,99.85,33701
2006-06-02,99.84,99.92,99.83,99.84,99.84,60692
2006-06-05,99.86,99.95,99.86,99.86,99.86,7126
2006-06-06,99.86,99.86,99.78,99.86,99.86,15618
2006-06-07,99.8,99.84,99.77,99.8,99.8,50450
2006-06-08,99.95,100.0,99.85,99.95,99.95,35899
2006-06-09,99.98,100.03,99.95,99.98,99.98,12026
2006-06-12,100.02,100.49,100.0,100.02,100.02,6176
2006-06-13,100.08,100.18,100.06,100.08,100.08,347315
2006-06-14,100.09,100.14,100.04,100.09,100.09,93577
2006-06-15,100.04,100.06,99.97,100.04,100.04,22155
2006-06-16,100.02,100.08,100.0,100.02,100.02,9316
2006-06-19,99.97,100.05,99.94,99.97,99.97,14026
2006-06-20,99.97,100.01,99.9,99.97,99.97,4433
2006-06-21,99.95,99.99,99.87,99.95,99.95,7046
2006-06-22,99.92,99.93,99.87,99.92,99.92,13524
2006-06-23,99.88,99.91,99.85,99.88,99.88,2818
2006-06-26,99.87,99.95,99.77,99.87,99.87,43666
2006-06-27,99.77,99.77,99.7,99.77,99.77,11418
2006-06-28,99.73,99.82,99.73,99.73,99.73,5541
2006-06-29,99.78,99.9,99.77,99.78,99.78,1253
2006-06-30,99.87,99.89,99.78,99.87,99.87,11683
2006-07-03,99.86,99.9,99.79,99.86,99.86,7865
2006-07-04,99.82,99.89,99.81,99.82,99.82,9859
2006-07-05,99.75,99.8,99.75,99.75,99.75,188400
2006-07-06,99.75,99.87,99.73,99.75,99.75,242191
2006-07-07,99.81,99.85,99.77,99.81,99.81,32004
2006-07-10,99.79,99.87,99.79,99.79,99.79,1966
2006-07-11,99.81,100.15,99.77,99.81,99.81,57346
2006-07-12,99.86,99.93,99.83,99.86,99.86,233407
2006-07-13,99.89,100.0,99.77,99.89,99.89,4056
2006-07-14,100.04,100.11,100.01,100.04,100.04,1485
2006-07-17,100.04,100.11,100.02,100.04,100.04,172330
2006-07-18,100.04,100.08,100.0,100.04,100.04,27670
2006-07-19,100.04,100.09,99.95,100.04,100.04,15577
2006-07-20,100.09,100.09,100.0,100.09,100.09,5933
2006-07-21,100.15,100.15,100.11,100.15,100.15,926
2006-07-24,100.1,100.14,100.08,100.1,100.1,3168
2006-07-25,100.19,100.21,100.14,100.19,100.19,3839
2006-07-26,100.13,100.19,100.06,100.13,100.13,5296
