Date,Dividend,Pay Date
2016-02-01,0.0219,2016-02-15
2015-07-31,0.0674,2015-08-14
2015-01-30,0.1107,2015-02-13
2014-07-31,0.1709,2014-08-14
2014-01-31,0.2108,2014-02-14
2013-01-31,0.4282,2013-02-14
2012-07-31,0.6096,2012-08-14
