Date,Dividend,Pay Date
2014-12-18,0.0254,2015-01-08
2014-06-25,0.0768,2014-07-16
2013-12-18,0.1127,2014-01-08
2013-06-26,0.1609,2013-07-17
2012-12-27,0.3678,2013-01-16
2012-06-20,0.4137,2012-07-11
2011-12-28,0.7289,2012-01-25
2011-06-22,0.4419,2011-07-20
2010-12-29,0.4046,2011-07-26
2010-06-23,0.1061,2010-07-21
2010-05-12,0.1392,2010-06-09
2009-12-30,0.3309,2010-01-27
